"Vaccine/Sample","Dose","Geography Type","Geography","Survey Year","Dimension Type","Dimension","Estimate (%)","95% CI (%)","Sample Size"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2020","Age","13-15 Years","98.6","96.1 to 99.5","193"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2013","Age","13-17 Years","86.3","79.1 to 91.3","256"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2016","Age","13-17 Years","92.3","87.9 to 95.2","375"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2012","Age","13-17 Years","97.8","94.7 to 99.1","205"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2008","Age","13-17 Years","38.1","29.2 to 47.8","138"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2009","Age","13-17 Years","59.3","50.1 to 67.9","145"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2010","Age","13-17 Years","68.0","59.6 to 75.5","166"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2009","Age","13-17 Years","91.5","84.9 to 95.4","145"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2008","Age","13-17 Years","84.8","76.2 to 90.6","138"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2011","Age","13-17 Years","94.2","84.2 to 98.0","197"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2010","Age","13-17 Years","92.7","87.6 to 95.8","166"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2019","Age","13-15 Years","96.7","90.3 to 98.9","155"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2012","Age","13-17 Years","82.9","75.3 to 88.5","205"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2011","Age","13-17 Years","81.9","72.9 to 88.4","197"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2009","Age","13-17 Years","44.9","36.5 to 53.5","164"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2008","Age","13-17 Years","33.6","26.4 to 41.6","167"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2011","Age","13-17 Years","93.3","87.4 to 96.5","327"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2017","Age","13-17 Years","97.5","93.4 to 99.0","307"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2016","Age","13-17 Years","97.3","94.5 to 98.7","299"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2014","Age","13-17 Years","95.0","89.7 to 97.7","223"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2015","Age","13-17 Years","95.3","91.1 to 97.6","305"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2013","Age","13-17 Years","94.6","88.6 to 97.5","256"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2017","Age","13-17 Years","90.8","85.8 to 94.2","307"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2016","Age","13-17 Years","86.8","80.6 to 91.3","299"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2014","Age","13-17 Years","85.6","78.5 to 90.7","223"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2015","Age","13-17 Years","89.9","84.3 to 93.7","305"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2012","Age","13-17 Years","59.4","48.8 to 69.2","164"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2013","Age","13-17 Years","59.3","49.8 to 68.1","167"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2010","Age","13-17 Years","51.3","42.0 to 60.5","139"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2011","Age","13-17 Years","55.5","45.5 to 65.1","159"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2012","Age","13-17 Years","94.1","90.4 to 96.5","322"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2013","Age","13-17 Years","95.8","92.3 to 97.8","369"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2014","Age","13-17 Years","93.5","88.9 to 96.3","286"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2015","Age","13-17 Years","93.2","88.7 to 96.0","366"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2018","Age","13-17 Years","93.8","88.7 to 96.7","285"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2019","Age","13-17 Years","75.8","64.4 to 84.4","129"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2020","Age","13-17 Years","81.9","72.0 to 88.8","146"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2013","Age","13-17 Years","22.0","16.0 to 29.4","202"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2012","Age","13-17 Years","90.2","83.5 to 94.3","322"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2011","Age","13-17 Years","90.1","82.8 to 94.4","327"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2020","Age","13-17 Years","80.1","72.2 to 86.3","184"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2021","Age","13-17 Years","75.1","65.7 to 82.6","161"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2012","Age","13-15 Years","60.6","51.1 to 69.3","206"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2013","Age","13-15 Years","67.2","58.9 to 74.5","230"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2015","Age","13-15 Years","83.7","76.7 to 88.9","236"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2014","Age","13-15 Years","74.4","66.2 to 81.2","169"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2022","Age","13-17 Years","88.0","81.7 to 92.3","179"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2008","Age","13-15 Years","42.0","34.4 to 49.9","203"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2010","Age","13-15 Years","54.9","46.5 to 63.0","180"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2009","Age","13-15 Years","48.4","40.7 to 56.2","204"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2011","Age","13-15 Years","65.4","56.4 to 73.4","204"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2017","Age","13-17 Years","91.1","86.4 to 94.3","356"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2016","Age","13-17 Years","91.8","87.5 to 94.8","375"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2019","Age","13-15 Years","85.9","76.5 to 92.0","165"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2020","Age","13-15 Years","95.7","90.6 to 98.1","213"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2012","Age","13-17 Years","46.0","35.7 to 56.8","164"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2011","Age","13-17 Years","46.0","36.3 to 56.1","159"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2009","Age","13-17 Years","34.7","27.2 to 43.0","164"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2010","Age","13-17 Years","43.3","34.4 to 52.7","139"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2013","Age","13-17 Years","93.9","89.4 to 96.5","369"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2009","Age","13-17 Years","90.3","85.7 to 93.5","336"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2010","Age","13-17 Years","93.2","89.2 to 95.7","310"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2008","Age","13-17 Years","88.7","84.2 to 92.0","338"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2017","Age","13-17 Years","68.1","61.9 to 73.7","356"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2016","Age","13-17 Years","59.1","53.0 to 65.0","375"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2018","Age","13-17 Years","76.7","70.0 to 82.3","285"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2022","Age","13-17 Years","86.9","82.3 to 90.5","331"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2021","Age","13-17 Years","84.8","74.4 to 91.4","135"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2022","Age","13-17 Years","85.8","78.3 to 91.0","152"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2012","Age","13-17 Years","15.2","9.1 to 24.5","158"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2017","Age","13-17 Years","70.1","61.6 to 77.4","182"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2016","Age","13-17 Years","60.1","51.6 to 68.0","201"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2014","Age","13-17 Years","43.9","34.4 to 53.9","152"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2015","Age","13-17 Years","57.1","48.3 to 65.4","187"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2022","Age","13-17 Years","98.1","96.3 to 99.0","314"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2020","Age","13-17 Years","96.4","93.6 to 98.0","330"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2021","Age","13-17 Years","96.1","92.8 to 97.9","296"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2022","Age","13-17 Years","95.7","92.3 to 97.7","331"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2022","Age","13-17 Years","96.2","92.6 to 98.1","314"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2019","Age","13-17 Years","95.3","90.7 to 97.7","256"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2018","Age","13-17 Years","93.3","87.9 to 96.3","249"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2020","Age","13-17 Years","97.0","94.0 to 98.6","300"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2017","Age","13-17 Years","66.0","56.8 to 74.2","174"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2018","Age","13-17 Years","84.9","76.7 to 90.6","131"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Minnesota","2021","Age","13-17 Years","96.8","93.6 to 98.4","276"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2016","Age","13-17 Years","58.1","49.0 to 66.7","174"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2018","Age","13-17 Years","96.0","92.3 to 98.0","249"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2019","Age","13-17 Years","98.9","96.1 to 99.7","256"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2020","Age","13-17 Years","98.4","96.5 to 99.3","300"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Minnesota","2021","Age","13-17 Years","98.6","96.0 to 99.5","276"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2014","Age","13-17 Years","67.0","57.1 to 75.7","134"
"HPV","≥1 Dose, Females","States/Local Areas","Minnesota","2015","Age","13-17 Years","65.5","56.2 to 73.7","179"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2019","Age","13-17 Years","95.8","91.2 to 98.1","276"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2008","Age","13-17 Years","27.9","21.3 to 35.5","167"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2014","Age","13-17 Years","89.9","84.4 to 93.6","286"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2015","Age","13-17 Years","92.6","88.4 to 95.4","366"
"≥3 Doses HepB","","States/Local Areas","Minnesota","2017","Age","13-17 Years","95.7","93.0 to 97.3","356"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2016","Age","13-15 Years","89.6","83.3 to 93.7","227"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2018","Age","13-17 Years","68.8","58.5 to 77.6","154"
"HPV","≥1 Dose, Males","States/Local Areas","Minnesota","2019","Age","13-17 Years","71.9","60.6 to 81.1","147"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2012","Age","13-15 Years","85.2","75.5 to 91.5","206"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2011","Age","13-15 Years","90.5","83.2 to 94.9","204"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2010","Age","13-15 Years","84.3","76.5 to 89.8","180"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2009","Age","13-15 Years","68.2","60.2 to 75.2","204"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2008","Age","13-15 Years","53.3","45.4 to 61.0","203"
"HPV","≥2 Doses, Males","States/Local Areas","Minnesota","2014","Age","13-17 Years","36.6","27.4 to 46.8","152"
"HPV","≥2 Doses, Males","States/Local Areas","Minnesota","2013","Age","13-17 Years","13.1","8.4 to 19.8","202"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2015","Age","13-17 Years","51.3","42.5 to 60.1","179"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2014","Age","13-17 Years","53.9","43.6 to 63.8","134"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2019","Age","13-17 Years","91.7","85.4 to 95.4","276"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2020","Age","13-17 Years","94.5","90.8 to 96.7","330"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2021","Age","13-17 Years","93.1","88.3 to 96.0","296"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2018","Age","13-17 Years","94.3","90.3 to 96.7","285"
"HPV","≥2 Doses, Females","States/Local Areas","Minnesota","2013","Age","13-17 Years","45.8","36.7 to 55.2","167"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2017","Age","13-15 Years","89.4","82.9 to 93.7","225"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2018","Age","13-15 Years","92.4","85.7 to 96.1","168"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2019","Age","13-17 Years","73.8","66.0 to 80.4","276"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Minnesota","2022","Age","13-17 Years","94.2","90.3 to 96.5","331"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2020","Age","13-17 Years","81.0","75.0 to 85.8","330"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Minnesota","2021","Age","13-17 Years","79.9","73.2 to 85.2","296"
"≥1 Dose MenACWY","","States/Local Areas","Minnesota","2021","Age","13-15 Years","88.0","80.0 to 93.1","182"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2017","Age","13-15 Years","88.5","81.7 to 93.0","225"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2016","Age","13-15 Years","91.0","85.1 to 94.8","227"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2015","Age","13-15 Years","90.7","85.0 to 94.3","236"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2014","Age","13-15 Years","87.4","80.0 to 92.3","169"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Minnesota","2013","Age","13-15 Years","89.9","83.2 to 94.1","230"
"HPV","Up-to-Date, Females","States/Local Areas","Kentucky","2023","Age","13-17 Years","50.0","39.7 to 60.3","149"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Kentucky","2023","Age","13-15 Years","94.7","89.3 to 97.4","178"
"HPV","Up-to-Date, Females","States/Local Areas","Kentucky","2023","Age","13-15 Years","42.9","31.2 to 55.4","96"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2023","Age","13-15 Years","81.1","71.6 to 87.9","187"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2023","Age","13-15 Years","44.5","36.0 to 53.4","187"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2023","Age","13-15 Years","81.7","72.3 to 88.5","187"
"≥2 Doses Hep A","","States/Local Areas","Kentucky","2023","Age","13-17 Years","91.3","86.0 to 94.7","297"
"Varicella","≥2 Doses or history of disease","States/Local Areas","Kentucky","2023","Age","13-17 Years","96.2","93.1 to 97.9","297"
"HPV","Up-to-Date, Males","States/Local Areas","Kentucky","2023","Age","13-15 Years","46.2","34.3 to 58.6","91"
"≥3 Doses HepB","","States/Local Areas","Kentucky","2023","Age","13-17 Years","95.3","92.1 to 97.3","297"
"Varicella","≥1 Dose with no disease history","States/Local Areas","Kentucky","2023","Age","13-17 Years","96.4","93.1 to 98.1","283"
"Varicella","≥2 Doses with no disease history","States/Local Areas","Kentucky","2023","Age","13-17 Years","95.9","92.7 to 97.8","283"
"HPV","Up-to-Date, Males","States/Local Areas","Kentucky","2023","Age","13-17 Years","45.9","36.3 to 55.8","148"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2023","Age","13-17 Years","95.4","92.2 to 97.4","297"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2023","Age","13-17 Years","47.9","40.8 to 55.1","297"
"HPV","≥1 Dose, Females","States/Local Areas","Kentucky","2023","Age","13-17 Years","69.9","59.5 to 78.6","149"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2023","Age","13-17 Years","66.0","58.7 to 72.5","297"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2023","Age","13-17 Years","84.0","77.5 to 88.9","297"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2023","Age","13-17 Years","84.0","77.5 to 88.9","297"
"Tetanus","≥1 Dose Td or Tdap","States/Local Areas","Kentucky","2023","Age","13-17 Years","84.6","78.1 to 89.4","297"
"HPV","≥1 Dose, Males","States/Local Areas","Kentucky","2023","Age","13-17 Years","62.2","51.9 to 71.5","148"
"HPV","Up-to-Date, Males","States/Local Areas","Kentucky","2024","Age","13-17 Years","60.8","50.6 to 70.2","106"
"HPV","Up-to-Date, Females","States/Local Areas","Kentucky","2024","Age","13-17 Years","61.5","50.8 to 71.2","105"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2024","Age","13-17 Years","61.1","53.8 to 68.0","211"
"≥2 Doses Hep A","","States/Local Areas","Kentucky","2024","Age","13-17 Years","93.6","89.7 to 96.1","211"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Overall","Overall","53.1","49.9 to 56.3","1333"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Overall","Overall","68.7","65.7 to 71.6","1333"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a Non-MSA","84.1","79.2 to 88.0","444"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Principal City","75.8","71.1 to 79.9","502"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Non-Principal City","72.8","67.2 to 77.7","387"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a Non-MSA","54.6","48.9 to 60.2","444"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Principal City","59.9","54.8 to 64.8","502"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Non-Principal City","55.2","49.2 to 61.1","387"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a Non-MSA","41.4","35.9 to 47.1","444"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Principal City","91.7","88.3 to 94.2","502"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Non-Principal City","90.6","86.2 to 93.8","387"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a Non-MSA","85.1","80.4 to 88.8","444"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","White, Non-Hispanic","52.4","48.8 to 56.1","1033"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Principal City","87.3","83.2 to 90.6","502"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Urbanicity","Living In a MSA Non-Principal City","90.8","86.7 to 93.8","387"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","89.4","81.7 to 94.1","118"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","69.7","59.2 to 78.6","118"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Hispanic","44.5","33.4 to 56.3","104"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Black, Non-Hispanic","67.5","54.4 to 78.2","78"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","51.3","40.7 to 61.9","118"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","White, Non-Hispanic","87.7","84.9 to 89.9","1033"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","White, Non-Hispanic","89.2","86.5 to 91.3","1033"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Black, Non-Hispanic","92.8","82.0 to 97.3","78"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Hispanic","88.8","79.5 to 94.1","104"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Hispanic","86.5","75.8 to 92.9","104"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Black, Non-Hispanic","87.9","75.5 to 94.5","78"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Other or Multiple Races, Non-Hispanic","86.9","77.1 to 92.9","118"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","White, Non-Hispanic","66.9","63.4 to 70.2","1033"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Black, Non-Hispanic","82.0","69.6 to 90.0","78"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Race and Ethnicity","Hispanic","71.5","60.4 to 80.6","104"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Poverty","Below Poverty Level","74.6","67.3 to 80.8","209"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Poverty","Living At or Above Poverty Level","67.1","63.6 to 70.4","1077"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Poverty","Living At or Above Poverty Level","90.2","87.7 to 92.2","1077"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Poverty","Below Poverty Level","86.5","80.0 to 91.1","209"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Poverty","Below Poverty Level","49.6","41.6 to 57.6","209"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Poverty","Living At or Above Poverty Level","53.3","49.7 to 56.9","1077"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Poverty","Living At or Above Poverty Level","87.5","84.8 to 89.8","1077"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Poverty","Below Poverty Level","88.8","83.0 to 92.8","209"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Private Insurance Only","91.3","88.4 to 93.6","743"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Any Medicaid","88.3","84.4 to 91.4","473"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Other","87.3","75.6 to 93.9","78"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Any Medicaid","70.6","65.6 to 75.2","473"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Private Insurance Only","68.4","64.2 to 72.3","743"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Other","64.8","51.0 to 76.5","78"
"HPV","≥1 Dose, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Uninsured","58.4","39.1 to 75.4","39"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Uninsured","76.3","54.2 to 89.8","39"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Private Insurance Only","56.6","52.3 to 60.8","743"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Any Medicaid","52.1","46.7 to 57.4","473"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Uninsured","29.5","16.3 to 47.5","39"
"HPV","Up-to-Date, Males and Females","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Other","41.0","28.0 to 55.4","78"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Private Insurance Only","89.1","85.8 to 91.6","743"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Any Medicaid","86.1","81.9 to 89.4","473"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Other","91.1","80.6 to 96.1","78"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Insurance Coverage","Uninsured","73.3","51.7 to 87.6","39"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2018-2022","Overall","Overall","89.5","87.2 to 91.3","1333"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018-2022","Overall","Overall","87.5","85.1 to 89.6","1333"
"HPV","≥3 Doses, Females","States/Local Areas","Kentucky","2009","Age","13-15 Years","20.8","14.1 to 29.6","113"
"≥2 Doses MMR","","States/Local Areas","Kentucky","2022","Age","13-17 Years","92.0","86.5 to 95.3","276"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2022","Age","13-17 Years","90.4","84.5 to 94.2","276"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2016","Age","13-17 Years","89.0","84.6 to 92.2","333"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2018","Age","13-17 Years","84.9","79.0 to 89.3","270"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2017","Age","13-17 Years","86.4","81.7 to 90.0","372"
"Tetanus","≥1 Dose Tdap","States/Local Areas","Kentucky","2019","Age","13-17 Years","89.2","84.3 to 92.8","292"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2010","Age","13-17 Years","44.8","38.7 to 51.1","309"
"≥1 Dose MenACWY","","States/Local Areas","Kentucky","2011","Age","13-17 Years","55.0","48.4 to 61.4","382"
